Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.008363039823016382,-58.70567338493177,-88.74681156941188
103.1177274593055,0.008105243810657501,-59.25969553573742,-88.52118712542813
106.3326571637161,0.008035001986058091,-59.44980456714571,-87.59569977891074
109.6478196143185,0.008399151691187939,-59.5088130292746,-88.80491762733203
113.0663397949639,0.007924751897805912,-60.01830887984666,-87.80280253233883
116.5914401179832,0.008429452681812586,-60.06829008878078,-87.9220801722206
120.2264434617413,0.008335848811860771,-60.40073484088736,-88.02852521290595
123.9747763028944,0.00814100937050354,-60.54038168995312,-87.20024487586511
127.8399719463024,0.008044407714719539,-60.93432351845151,-87.8765485612257
131.8256738556408,0.007910451179684596,-61.09372758015639,-87.52721505343028
135.9356390878525,0.008130725928055046,-61.43201030049176,-87.87464842034679
140.173741834677,0.008133276231634064,-61.80807575112776,-87.45710815484648
144.5439770745927,0.008260136630237891,-62.29581927221218,-87.93254976460986
149.0504643386196,0.008288467256545903,-62.68547871971233,-87.53019124330262
153.6974515935272,0.008102634378354697,-62.4183209656467,-87.256999085141
158.4893192461113,0.007594088139882925,-62.57479519780074,-87.46329408583341
163.4305842723138,0.007907899820687092,-62.66310749115589,-87.42339030338718
168.5259044750751,0.008125530178691196,-62.83074849674487,-87.6447373797174
173.7800828749376,0.008186550159682461,-63.45089569287754,-88.92381334820561
179.1980722375334,0.008017840521762687,-63.80810850414793,-88.03130179989608
184.7849797422291,0.008040300208797918,-63.87265746620302,-87.69961284345499
190.5460717963247,0.008096224507293706,-64.17113826143304,-89.54004017099928
196.4867789993468,0.008147787846862138,-64.51599833512074,-87.70571485064605
202.6127012621143,0.008236076729706308,-65.37068982924724,-85.29655909055154
208.929613085404,0.007970983835291197,-64.74543409098574,-86.92363349295189
215.4434690031883,0.007803890128960776,-65.25928658506737,-87.87046609924094
222.1604091955812,0.007989923037268422,-65.54758784707462,-88.04048634960122
229.0867652767772,0.007850968170293477,-65.94595845927887,-88.7275290061191
236.2290662634462,0.008134578381023645,-66.21785096038013,-87.21471909274794
243.5940447292027,0.00806999961541559,-66.42013265759539,-85.31510510861899
251.1886431509579,0.008241901866064792,-66.42625237670543,-87.46427759535413
259.0200204531324,0.008204732967538252,-66.99404527208299,-88.13981178350654
267.0955587558985,0.00813795499826918,-66.72821293202024,-88.84867629654605
275.4228703338166,0.008197805439451106,-67.59596825820128,-86.74059928369294
284.0098047914215,0.008004617381284124,-68.07240490193449,-87.83050659126067
292.8644564625237,0.008362538256719249,-68.35795392019166,-89.67085328362316
301.9951720402016,0.00844693613870265,-67.80212969405136,-87.07517740718667
311.410558444676,0.008215254533247686,-68.67215916492115,-87.74239740600837
321.1194909364824,0.00830595948250063,-68.54098237477486,-88.44795813346764
331.1311214825911,0.008126696034112837,-68.73094141240789,-85.58169368160598
341.4548873833601,0.00821562565471581,-69.15560585019183,-84.03050801611262
352.1005201684519,0.008220690147663141,-68.86508690022228,-88.97095785236451
363.0780547701014,0.007983868697205498,-69.38975627828374,-86.99204582898174
374.3978389823811,0.008155310043114206,-69.94634045310352,-85.24939260279658
386.0705432153813,0.007905360089046017,-70.58486296865181,-84.96496787998716
398.1071705534973,0.008102752015995337,-71.02623643142455,-87.23284471643682
410.5190671273078,0.008072453453647611,-71.37773876903678,-86.06611387559697
423.3179328088209,0.007952280097946043,-70.73046921438835,-87.06060300490694
436.5158322401661,0.008195459278799586,-71.63765211870115,-87.16970737672703
450.1252062061337,0.008245270839169868,-71.30697760868409,-91.21527386921093
464.1588833612777,0.00832570664136895,-71.14256538902454,-91.46601691503557
478.6300923226385,0.008281242166381091,-71.7710847532978,-85.53814566410426
493.5524741394806,0.00855588354261945,-71.86483078159206,-84.77222554571252
508.9400951518089,0.008275488135948326,-72.32629581072766,-85.78642942019167
524.8074602497726,0.00849012196648111,-73.5122499049972,-89.20532294717495
541.1695265464638,0.00833687293049796,-73.16023553645523,-89.37835838999709
558.0417174769964,0.008198561673847169,-72.91069470001753,-84.0414495106784
575.4399373371569,0.008318729000192496,-73.26441243401095,-84.8922451545175
593.3805862753281,0.008597385938194483,-73.06516316061744,-89.85684504508879
611.8805757518219,0.008526111854968989,-74.39578557200829,-82.79508453844278
630.9573444801933,0.008330020174090787,-74.92214583801685,-89.2490255602475
650.6288748655573,0.008332576013434519,-72.9011397429401,-87.67971188502824
670.9137099554112,0.008192381459710234,-74.36322213782063,-85.80777424970222
691.8309709189363,0.008080078046265846,-73.98213618706896,-85.78243338289633
713.4003750712565,0.008282633619949655,-75.8717806594678,-87.25192725865054
735.6422544596413,0.008120065730585223,-74.67236583831371,-81.59672760509885
758.5775750291835,0.008257879470139246,-75.76245197037706,-87.82532918975437
782.2279563860026,0.008156276379132132,-75.11514904308135,-87.58242154716564
806.6156921766135,0.008638069369201546,-75.80703551620907,-84.52411597904967
831.7637711026708,0.008190549384716856,-76.87159916205425,-85.94753892259502
857.6958985908942,0.008461321773099557,-76.03453493575353,-77.12911222471179
884.4365191385998,0.008528617747321677,-75.22931257274811,-82.33246670152467
912.0108393559096,0.008835877408087577,-76.17999634790566,-85.01279017547621
940.4448517263518,0.008548085469330594,-76.31418668066908,-93.37791482168483
969.7653591082496,0.008614775495067522,-77.23798162934423,-83.31203722251293
