Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
150.0000000000001,-0.05378966258842013,-18.96826614747201,-97.33360186281072
151.9091676027145,-0.05375510144681651,-18.58228852288633,-99.69282655376033
153.8426346783307,-0.0521264857941349,-18.15843985549076,-103.1609836638379
155.8007105052914,-0.05401451559047209,-17.70754879340358,-105.6372026427206
157.7837082984687,-0.05392683378022545,-17.37046767508913,-108.1742545405644
159.791945259266,-0.05454056641678528,-16.92195832946296,-110.3400329272966
161.8257426263575,-0.05302162195315505,-16.38002025331748,-113.4901674194464
163.8854257270738,-0.05431031556871255,-15.76166626502422,-114.5936941408897
165.9713240294418,-0.05339359771164738,-15.12344850227251,-117.2872304553385
168.0837711948861,-0.05377719752744634,-14.42051897039466,-121.8193564829209
170.2231051316018,-0.05365420256801659,-13.79350094688547,-125.106558109967
172.3896680486065,-0.05291257690424002,-12.81036142457414,-127.3972639891599
174.5838065104805,-0.05279547474708193,-11.79155460705854,-130.3652753683452
176.8058714928031,-0.05402026829216,-10.75914120496302,-134.4737691852716
179.0562184382948,-0.05329464099300616,-9.249086599767079,-139.0998757268254
181.3352073136745,-0.05297991331799653,-7.791489086898378,-145.4061233330205
183.6432026672398,-0.05329191599710417,-6.086706073082624,-153.2268861269827
185.9805736871799,-0.05443753216935908,-4.469042778331434,-164.1019077201273
188.3476942606321,-0.05256988115855662,-2.863027584489673,-177.914810244563
190.7449430334879,-0.05313953883876629,-1.248809318132053,164.8215715153389
193.1727034709622,-0.05313887392119658,0.07764148283731809,142.2147933943522
195.6313639189325,-0.05449797735682272,0.2852620386588204,114.3569126513661
198.1213176660583,-0.05283585888603989,-1.27460730518092,94.2569523248078
200.6429630066926,-0.05216677194871121,-3.886055594149409,84.48329370083795
203.1967033045927,-0.05393143682416697,-5.959457763174015,74.28275923150989
205.7829470574427,-0.05271578854872773,-6.649863613849791,63.95509550697962
208.4021079621973,-0.05460049699342307,-7.850999360722149,61.38714865648084
211.0546049812562,-0.05446176399624075,-8.601736835359681,57.2700453080345
213.7408624094823,-0.05417950169189902,-9.373484859182497,53.0599258764469
216.4613099420719,-0.05258281673849499,-10.02766505913183,49.48760023434917
219.2163827432888,-0.05250817355485563,-10.88053706710875,46.903685649701
