Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,0.01709460290338325,0.4187354731668511,-75.05782219114805
1010.787354517243,0.01731754933501959,0.4103548335920639,-76.06715956680297
1021.691076051967,0.0171417591699298,0.4029948959208941,-77.06781307004144
1032.712419896443,0.01704059090702142,0.3942186438360352,-78.08107474243963
1043.852654884226,0.01670634385940685,0.3849123001413507,-79.1029979672373
1055.113063536228,0.01689972369869778,0.3742300691540784,-80.13709681210469
1066.494942208368,0.01663827645172467,0.3632525426116857,-81.18321008048422
1077.999601240816,0.01660135727029713,0.3506861796955246,-82.24456528282687
1089.628365108847,0.01652173982367065,0.3369718296137547,-83.31885507071927
1101.38257257532,0.01667477429157095,0.3222516279194247,-84.40577843073999
1113.263576844804,0.01655302056934881,0.3067467518835854,-85.50580859737842
1125.272745719363,0.01654198545772748,0.2894575897236564,-86.62140905789738
1137.411461756029,0.01634922369508208,0.2716785292540955,-87.751318534905
1149.681122425967,0.01613020391340081,0.2521999653383957,-88.89347623323981
1162.083140275358,0.01665254399910334,0.2308045220901716,-90.05034491305369
1174.618943088019,0.01625992936585408,0.2090357470596054,-91.21982330897785
1187.289974049779,0.01610432265191331,0.1849164696119685,-92.40502089139819
1200.097691914622,0.0159751909799599,0.1599270687127974,-93.60447497564314
1213.04357117263,0.01617086166850056,0.1330343614571798,-94.81520714910788
1226.129102219732,0.01570869123194093,0.104775372674223,-96.0415092361544
1239.355791529286,0.01572674913150278,0.07450317317768672,-97.28189604034117
1252.725161825511,0.01533777435323402,0.04292338368839391,-98.53313549692723
1266.238752258793,0.01559901137639425,0.009327544348303757,-99.79981384320445
1279.89811858288,0.01531990666386427,-0.02612003896207596,-101.0809970794953
1293.704833333986,0.01526153723748186,-0.06375104369414133,-102.3748146201448
1307.66048601183,0.01528453326469084,-0.1022290231990333,-103.6797171929122
1321.766683262631,0.015050710762361,-0.1435750073297437,-104.9985248204129
1336.025049064065,0.01513595196465586,-0.1867318242872401,-106.3323550773233
1350.437224912236,0.01484718951648945,-0.2320037249517015,-107.6758596296597
1365.004870010647,0.01534240976515669,-0.2788861633878182,-109.0353637852393
1379.729661461215,0.01503228619628136,-0.3283240016034326,-110.4037495532782
1394.613294457353,0.01495949280061224,-0.3794159705649688,-111.7851404207073
1409.657482479125,0.01453370163288122,-0.4331603023933555,-113.1809958182364
1424.863957490511,0.01432556551925269,-0.4889138050267895,-114.5840729040339
1440.234470138804,0.01439446089845723,-0.5475028643562944,-116.0017702625188
1455.770789956145,0.01447688350296628,-0.6079686428955074,-117.4297117924663
1471.474705563249,0.01422967505717737,-0.6705626501749694,-118.8678080070176
1487.348024875316,0.01454704291714239,-0.7359515651637203,-120.3183620549945
1503.392575310167,0.01419204727719236,-0.8030639340203265,-121.7773296341481
1519.610203998629,0.01396002530626421,-0.8728975216829844,-123.2495113294151
1536.002777997182,0.01450679996872261,-0.9456308769803979,-124.7267412302058
1552.572184502907,0.01397655760251292,-1.020528590922478,-126.2192998956185
1569.320331070751,0.01395363556396076,-1.097166954012931,-127.7202339476198
1586.249145833129,0.01452857967756945,-1.17737795231212,-129.2292890665059
1603.360577721905,0.01353051574616079,-1.258987806447527,-130.7469952951618
1620.656596692763,0.01360290551957976,-1.344111130566179,-132.2723867022364
1638.139193951996,0.01391114228468673,-1.431587053017584,-133.8085246994176
1655.810382185747,0.01298295515188107,-1.521222601367601,-135.3543617608461
1673.672195791717,0.01324120772831634,-1.613126646391946,-136.9078306252777
1691.726691113375,0.01313449136522016,-1.708726309411967,-138.4635186815156
1709.975946676697,0.01335435217155997,-1.806192463409787,-140.0370107575579
1728.422063429457,0.01345538929656163,-1.906556388191102,-141.613540331389
1747.067164983095,0.01292648331173189,-2.008642718407047,-143.1981990695973
1765.913397857203,0.01298866158410835,-2.114225296518508,-144.790226963228
1784.962931726638,0.01292684422724195,-2.221717149002145,-146.3897839302295
1804.217959671311,0.01271196068474075,-2.332760050616842,-147.999206715121
1823.680698428662,0.01321117111785039,-2.446126202247183,-149.6126875376511
1843.353388648866,0.01271879516949897,-2.562498176711074,-151.233017248366
1863.238295152783,0.01297678790605493,-2.680529378762762,-152.8589098215131
1883.337707192699,0.01284384067031372,-2.802001725770703,-154.4976198273052
1903.653938715879,0.012581834848128,-2.925946139950171,-156.1395254547781
1924.189328630953,0.01314049663678156,-3.052712574931753,-157.7902605133999
1944.946241077191,0.01295948270412373,-3.182537390011318,-159.4446304975687
1965.92706569667,0.01299375134147311,-3.314151319391292,-161.1079491193112
1987.134217909384,0.01264304578113649,-3.449869516521944,-162.7754471903774
2008.570139191317,0.01275583148670088,-3.586865691061115,-164.4525000252987
2030.237297355522,0.01264695579335256,-3.727761175858193,-166.1378356834944
2052.138186836225,0.01302115008477128,-3.870744160743191,-167.8255309465495
2074.275328976,0.01264122242450596,-4.017326242802472,-169.5239972820781
2096.651272316035,0.01317814327352705,-4.167498483556101,-171.2277659992078
