#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C964
#Date Time: 2024-11-15 15:30:01.158
#Sample rate: 400Hz
#Samples: 4096

Time (s),UART2,UART
-2.6175,X,X
-2.615,X,X
-2.6125,X,X
-2.61,X,X
-2.6075,X,X
-2.605,X,X
-2.6025,X,X
-2.6,X,X
-2.5975,X,X
-2.595,X,X
-2.5925,X,X
-2.59,X,X
-2.5875,X,X
-2.585,X,X
-2.5825,X,X
-2.58,X,X
-2.5775,X,X
-2.575,X,X
-2.5725,X,X
-2.57,X,X
-2.5675,X,X
-2.565,X,X
-2.5625,X,X
-2.56,X,X
-2.5575,X,X
-2.555,X,X
-2.5525,X,X
-2.55,X,X
-2.5475,X,X
-2.545,X,X
-2.5425,X,X
-2.54,X,X
-2.5375,X,X
-2.535,X,X
-2.5325,X,X
-2.53,X,X
-2.5275,X,X
-2.525,X,X
-2.5225,X,X
-2.52,X,X
-2.5175,X,X
-2.515,X,X
-2.5125,X,X
-2.51,X,X
-2.5075,hD4[Ô],X
-2.505,hD4[Ô],X
-2.5025,hD4[Ô],X
-2.5,hD4[Ô],X
-2.4975,hD4[Ô],X
-2.495,hD4[Ô],X
-2.4925,hD4[Ô],X
-2.49,hD4[Ô],X
-2.4875,hD4[Ô],X
-2.485,hD4[Ô],X
-2.4825,hD4[Ô],X
-2.48,hD4[Ô],X
-2.4775,hD4[Ô],X
-2.475,hD4[Ô],X
-2.4725,hD4[Ô],X
-2.47,hD4[Ô],X
-2.4675,hD4[Ô],X
-2.465,hD4[Ô],X
-2.4625,hD4[Ô],X
-2.46,hD4[Ô],X
-2.4575,hD4[Ô],X
-2.455,hD4[Ô],X
-2.4525,hD4[Ô],X
-2.45,hD4[Ô],X
-2.4475,hD4[Ô],X
-2.445,hD4[Ô],X
-2.4425,hD4[Ô],X
-2.44,hD4[Ô],X
-2.4375,hD4[Ô],X
-2.435,hD4[Ô],X
-2.4325,hD4[Ô],X
-2.43,hD4[Ô],X
-2.4275,hD4[Ô],X
-2.425,hD4[Ô],X
-2.4225,hD4[Ô],X
-2.42,hD4[Ô],X
-2.4175,hD4[Ô],X
-2.415,hD4[Ô],X
-2.4125,hD4[Ô],X
-2.41,hD4[Ô],X
-2.4075,hD4[Ô],X
-2.405,hD4[Ô],X
-2.4025,hD4[Ô],X
-2.4,hD4[Ô],X
-2.3975,hD4[Ô],X
-2.395,hD4[Ô],X
-2.3925,hD4[Ô],X
-2.39,hD4[Ô],X
-2.3875,hD4[Ô],X
-2.385,hD4[Ô],X
-2.3825,hD4[Ô],X
-2.38,hD4[Ô],X
-2.3775,hD4[Ô],X
-2.375,hD4[Ô],X
-2.3725,hD4[Ô],X
