Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,0.0001494754575221466,-0.02801290148933524,-77.23494861976239
1015.46899243308,-0.0002898635577553357,-0.04139479212900223,-78.61524840660695
1031.177274593055,-0.0006066956620648294,-0.0560218029832743,-80.00293009925761
1047.1285480509,-0.0009086195441105765,-0.07209467229673155,-81.4175915394201
1063.326571637161,-0.0009606150094314549,-0.08908604649589588,-82.85341789333347
1079.77516232771,-0.001170429298768112,-0.1073145280356194,-84.31990832627419
1096.478196143185,-0.00141259147029851,-0.1271423369691657,-85.80854552417466
1113.439609062361,-0.001422711876447886,-0.1491909975259746,-87.33045285352557
1130.663397949639,-0.001799540374809415,-0.1724868164850385,-88.87618653654869
1148.153621496883,-0.001284425088067598,-0.1979449051253711,-90.45330737354129
1165.914401179832,-0.001960386123164249,-0.224815874890448,-92.05821341943255
1183.949922229302,-0.002258225787525423,-0.2537855114779477,-93.69310973659128
1202.264434617413,-0.00227920052546632,-0.285341945542073,-95.36014454094459
1220.862254059071,-0.002825823707786397,-0.3190918839985971,-97.05670089299987
1239.747763028945,-0.003027654807941013,-0.3553465718932056,-98.7859240181017
1258.925411794167,-0.002707823415447008,-0.3945565173370454,-100.5468541430499
1278.399719463024,-0.003528781949959508,-0.4358438376239015,-102.3390427305004
1298.175275049849,-0.003535462421174603,-0.480510607404907,-104.1612263407021
1318.256738556407,-0.003441356840064521,-0.5283652750898422,-106.0175503448441
1338.648842069993,-0.003913136189925244,-0.5791643995782858,-107.908064740647
1359.356390878526,-0.003956683366148096,-0.6334170824473988,-109.8263433279214
1380.384264602885,-0.004635503206531839,-0.6905897320358328,-111.7830428256781
1401.73741834677,-0.004380640733582701,-0.7526712473417441,-113.7696927512553
1423.420883864342,-0.00465150238689619,-0.8181894657427773,-115.7889999280601
1445.439770745928,-0.004822694397890061,-0.8880594203787195,-117.8428292272924
1467.799267622069,-0.005035124251398862,-0.9623256395039548,-119.9315479159587
1490.504643386196,-0.005367524247468675,-1.040371891425708,-122.0505336537927
1513.561248436208,-0.005551203581743602,-1.123524438830198,-124.2056180563847
1536.974515935271,-0.005861632499488777,-1.211409307786669,-126.3907690258668
1560.749963092112,-0.006240886246094133,-1.304667950162124,-128.6088748918465
1584.893192461113,-0.006182738870021839,-1.403093146082412,-130.859290274435
1609.409893262535,-0.006272171258941101,-1.507811776680573,-133.1444133046113
1634.305842723138,-0.006188530318827401,-1.618167124565866,-135.4569760792661
1659.586907437561,-0.007049916222526344,-1.733621872488464,-137.8022757137819
1685.259044750751,-0.007351762864977808,-1.855935408641089,-140.1773567159269
1711.328304161781,-0.00671433861249033,-1.984505183511155,-142.5815781924009
1737.800828749375,-0.007262778214676295,-2.119920624689843,-145.014294380004
1764.6828566195,-0.007371162730932992,-2.262352928484431,-147.4735394580524
1791.980722375334,-0.008011930563236269,-2.411965721193601,-149.9610311639282
1819.700858609984,-0.007865472344489571,-2.568488073187654,-152.4756154881467
1847.849797422291,-0.008193734047211429,-2.732569779032563,-155.0160698774575
1876.434171956085,-0.007733079474711548,-2.905563326082286,-157.5745744293035
