v1	V(output)	V(n007)	V(n008)
1.000000000000000e-03	-3.436173e-03	9.998698e-03	-4.505308e-05
1.006955550056719e-03	-3.436173e-03	1.006824e-02	-4.505308e-05
1.013959479790029e-03	-3.436173e-03	1.013828e-02	-4.505308e-05
1.021012125707193e-03	-3.436173e-03	1.020879e-02	-4.505308e-05
1.028113826656067e-03	-3.436173e-03	1.027980e-02	-4.505308e-05
1.035264923841378e-03	-3.436173e-03	1.035130e-02	-4.505308e-05
1.042465760841122e-03	-3.436173e-03	1.042330e-02	-4.505308e-05
1.049716683623068e-03	-3.436173e-03	1.049580e-02	-4.505308e-05
1.057018040561381e-03	-3.436173e-03	1.056881e-02	-4.505308e-05
1.064370182453361e-03	-3.436173e-03	1.064232e-02	-4.505308e-05
1.071773462536294e-03	-3.436173e-03	1.071634e-02	-4.505308e-05
1.079228236504428e-03	-3.436173e-03	1.079088e-02	-4.505308e-05
1.086734862526059e-03	-3.436173e-03	1.086594e-02	-4.505308e-05
1.094293701260741e-03	-3.436173e-03	1.094151e-02	-4.505308e-05
1.101905115876612e-03	-3.436173e-03	1.101762e-02	-4.505308e-05
1.109569472067847e-03	-3.436173e-03	1.109425e-02	-4.505308e-05
1.117287138072222e-03	-3.436173e-03	1.117142e-02	-4.505308e-05
1.125058484688811e-03	-3.436173e-03	1.124912e-02	-4.505308e-05
1.132883885295801e-03	-3.436173e-03	1.132737e-02	-4.505308e-05
1.140763715868426e-03	-3.436173e-03	1.140615e-02	-4.505308e-05
1.148698354997037e-03	-3.436173e-03	1.148549e-02	-4.505308e-05
1.156688183905290e-03	-3.436173e-03	1.156538e-02	-4.505308e-05
1.164733586468458e-03	-3.436173e-03	1.164582e-02	-4.505308e-05
1.172834949231881e-03	-3.436173e-03	1.172683e-02	-4.505308e-05
1.180992661429533e-03	-3.436173e-03	1.180839e-02	-4.505308e-05
1.189207115002724e-03	-3.436173e-03	1.189053e-02	-4.505308e-05
1.197478704618931e-03	-3.436173e-03	1.197323e-02	-4.505308e-05
1.205807827690763e-03	-3.436173e-03	1.205651e-02	-4.505308e-05
1.214194884395050e-03	-3.436173e-03	1.214037e-02	-4.505308e-05
1.222640277692071e-03	-3.436173e-03	1.222481e-02	-4.505308e-05
1.231144413344919e-03	-3.436173e-03	1.230985e-02	-4.505308e-05
1.239707699938990e-03	-3.436173e-03	1.239547e-02	-4.505308e-05
1.248330548901615e-03	-3.436173e-03	1.248168e-02	-4.505308e-05
1.257013374521832e-03	-3.436173e-03	1.256850e-02	-4.505308e-05
1.265756593970283e-03	-3.436173e-03	1.265592e-02	-4.505308e-05
1.274560627319266e-03	-3.436173e-03	1.274395e-02	-4.505308e-05
1.283425897562908e-03	-3.436173e-03	1.283259e-02	-4.505308e-05
1.292352830637496e-03	-3.436173e-03	1.292185e-02	-4.505308e-05
1.301341855441937e-03	-3.436173e-03	1.301173e-02	-4.505308e-05
1.310393403858367e-03	-3.436173e-03	1.310223e-02	-4.505308e-05
1.319507910772898e-03	-3.436173e-03	1.319337e-02	-4.505308e-05
1.328685814096516e-03	-3.436173e-03	1.328513e-02	-4.505308e-05
1.337927554786117e-03	-3.436173e-03	1.337754e-02	-4.505308e-05
1.347233576865695e-03	-3.436173e-03	1.347059e-02	-4.505308e-05
1.356604327447677e-03	-3.436173e-03	1.356428e-02	-4.505308e-05
1.366040256754401e-03	-3.436173e-03	1.365863e-02	-4.505308e-05
1.375541818139749e-03	-3.436173e-03	1.375363e-02	-4.505308e-05
1.385109468110930e-03	-3.436173e-03	1.384930e-02	-4.505308e-05
1.394743666350411e-03	-3.436173e-03	1.394563e-02	-4.505308e-05
1.404444875738003e-03	-3.436173e-03	1.404263e-02	-4.505308e-05
1.414213562373101e-03	-3.436173e-03	1.414030e-02	-4.505308e-05
1.424050195597078e-03	-3.436173e-03	1.423866e-02	-4.505308e-05
