v1	V(n007)
1.000000000000000e-03	9.998698e-03
1.000693387462581e-03	1.000563e-02
1.001387255711335e-03	1.001257e-02
1.002081605079633e-03	1.001951e-02
1.002776435901078e-03	1.002646e-02
1.003471748509503e-03	1.003341e-02
1.004167543238974e-03	1.004037e-02
1.004863820423786e-03	1.004733e-02
1.005560580398469e-03	1.005430e-02
1.006257823497783e-03	1.006127e-02
1.006955550056720e-03	1.006824e-02
1.007653760410505e-03	1.007523e-02
1.008352454894596e-03	1.008221e-02
1.009051633844683e-03	1.008920e-02
1.009751297596687e-03	1.009620e-02
1.010451446486765e-03	1.010320e-02
1.011152080851306e-03	1.011020e-02
1.011853201026931e-03	1.011721e-02
1.012554807350495e-03	1.012423e-02
1.013256900159088e-03	1.013125e-02
1.013959479790031e-03	1.013828e-02
1.014662546580883e-03	1.014530e-02
1.015366100869432e-03	1.015234e-02
1.016070142993705e-03	1.015938e-02
1.016774673291959e-03	1.016642e-02
1.017479692102689e-03	1.017347e-02
1.018185199764624e-03	1.018053e-02
1.018891196616726e-03	1.018759e-02
1.019597682998194e-03	1.019465e-02
1.020304659248461e-03	1.020172e-02
1.021012125707197e-03	1.020879e-02
1.021720082714305e-03	1.021587e-02
1.022428530609926e-03	1.022295e-02
1.023137469734436e-03	1.023004e-02
1.023846900428446e-03	1.023714e-02
1.024556823032806e-03	1.024423e-02
1.025267237888598e-03	1.025134e-02
1.025978145337145e-03	1.025845e-02
1.026689545720003e-03	1.026556e-02
1.027401439378968e-03	1.027268e-02
1.028113826656071e-03	1.027980e-02
1.028826707893580e-03	1.028693e-02
1.029540083434002e-03	1.029406e-02
1.030253953620079e-03	1.030120e-02
1.030968318794794e-03	1.030834e-02
1.031683179301364e-03	1.031549e-02
1.032398535483247e-03	1.032264e-02
1.033114387684138e-03	1.032980e-02
1.033830736247970e-03	1.033696e-02
1.034547581518915e-03	1.034413e-02
1.035264923841383e-03	1.035130e-02
1.035982763560025e-03	1.035848e-02
1.036701101019727e-03	1.036566e-02
1.037419936565618e-03	1.037285e-02
1.038139270543064e-03	1.038004e-02
1.038859103297671e-03	1.038724e-02
1.039579435175285e-03	1.039444e-02
1.040300266521992e-03	1.040165e-02
1.041021597684118e-03	1.040886e-02
1.041743429008228e-03	1.041608e-02
1.042465760841128e-03	1.042330e-02
1.043188593529865e-03	1.043053e-02
1.043911927421726e-03	1.043776e-02
1.044635762864239e-03	1.044500e-02
1.045360100205172e-03	1.045224e-02
1.046084939792537e-03	1.045949e-02
1.046810281974583e-03	1.046674e-02
1.047536127099805e-03	1.047400e-02
1.048262475516936e-03	1.048126e-02
1.048989327574954e-03	1.048853e-02
1.049716683623075e-03	1.049580e-02
1.050444544010761e-03	1.050308e-02
1.051172909087715e-03	1.051036e-02
1.051901779203881e-03	1.051765e-02
1.052631154709447e-03	1.052494e-02
1.053361035954845e-03	1.053224e-02
1.054091423290747e-03	1.053954e-02
1.054822317068070e-03	1.054685e-02
1.055553717637976e-03	1.055416e-02
1.056285625351866e-03	1.056148e-02
1.057018040561390e-03	1.056881e-02
1.057750963618436e-03	1.057613e-02
1.058484394875142e-03	1.058347e-02
1.059218334683886e-03	1.059081e-02
1.059952783397291e-03	1.059815e-02
1.060687741368227e-03	1.060550e-02
1.061423208949804e-03	1.061285e-02
1.062159186495383e-03	1.062021e-02
1.062895674358563e-03	1.062757e-02
1.063632672893195e-03	1.063494e-02
1.064370182453370e-03	1.064232e-02
1.065108203393428e-03	1.064970e-02
1.065846736067953e-03	1.065708e-02
1.066585780831775e-03	1.066447e-02
1.067325338039971e-03	1.067187e-02
1.068065408047862e-03	1.067926e-02
1.068805991211019e-03	1.068667e-02
1.069547087885256e-03	1.069408e-02
1.070288698426635e-03	1.070149e-02
1.071030823191466e-03	1.070892e-02
1.071773462536305e-03	1.071634e-02
1.072516616817954e-03	1.072377e-02
1.073260286393465e-03	1.073121e-02
1.074004471620136e-03	1.073865e-02
1.074749172855513e-03	1.074609e-02
1.075494390457390e-03	1.075354e-02
1.076240124783809e-03	1.076100e-02
1.076986376193061e-03	1.076846e-02
1.077733145043683e-03	1.077593e-02
1.078480431694464e-03	1.078340e-02
1.079228236504440e-03	1.079088e-02
1.079976559832895e-03	1.079836e-02
1.080725402039364e-03	1.080585e-02
1.081474763483631e-03	1.081334e-02
1.082224644525728e-03	1.082084e-02
1.082975045525938e-03	1.082834e-02
1.083725966844793e-03	1.083585e-02
1.084477408843077e-03	1.084336e-02
1.085229371881821e-03	1.085088e-02
1.085981856322308e-03	1.085841e-02
1.086734862526072e-03	1.086594e-02
1.087488390854897e-03	1.087347e-02
1.088242441670818e-03	1.088101e-02
1.088997015336121e-03	1.088855e-02
1.089752112213342e-03	1.089610e-02
1.090507732665272e-03	1.090366e-02
1.091263877054950e-03	1.091122e-02
1.092020545745667e-03	1.091878e-02
1.092777739100967e-03	1.092636e-02
1.093535457484647e-03	1.093393e-02
1.094293701260755e-03	1.094151e-02
1.095052470793590e-03	1.094910e-02
1.095811766447706e-03	1.095669e-02
1.096571588587909e-03	1.096429e-02
1.097331937579259e-03	1.097189e-02
1.098092813787065e-03	1.097950e-02
1.098854217576895e-03	1.098711e-02
1.099616149314567e-03	1.099473e-02
1.100378609366153e-03	1.100236e-02
1.101141598097980e-03	1.100998e-02
1.101905115876627e-03	1.101762e-02
1.102669163068929e-03	1.102526e-02
1.103433740041976e-03	1.103290e-02
1.104198847163109e-03	1.104055e-02
1.104964484799928e-03	1.104821e-02
1.105730653320286e-03	1.105587e-02
1.106497353092289e-03	1.106353e-02
1.107264584484302e-03	1.107121e-02
1.108032347864943e-03	1.107888e-02
1.108800643603087e-03	1.108656e-02
1.109569472067863e-03	1.109425e-02
1.110338833628657e-03	1.110194e-02
1.111108728655112e-03	1.110964e-02
1.111879157517125e-03	1.111735e-02
1.112650120584852e-03	1.112505e-02
1.113421618228705e-03	1.113277e-02
1.114193650819351e-03	1.114049e-02
1.114966218727716e-03	1.114821e-02
1.115739322324983e-03	1.115594e-02
1.116512961982591e-03	1.116368e-02
1.117287138072239e-03	1.117142e-02
1.118061850965881e-03	1.117916e-02
1.118837101035730e-03	1.118692e-02
1.119612888654259e-03	1.119467e-02
1.120389214194195e-03	1.120244e-02
1.121166078028528e-03	1.121020e-02
1.121943480530504e-03	1.121798e-02
1.122721422073628e-03	1.122575e-02
1.123499903031665e-03	1.123354e-02
1.124278923778637e-03	1.124133e-02
1.125058484688829e-03	1.124912e-02
1.125838586136782e-03	1.125692e-02
1.126619228497299e-03	1.126473e-02
1.127400412145442e-03	1.127254e-02
1.128182137456532e-03	1.128036e-02
1.128964404806152e-03	1.128818e-02
1.129747214570144e-03	1.129600e-02
1.130530567124613e-03	1.130384e-02
1.131314462845921e-03	1.131167e-02
1.132098902110695e-03	1.131952e-02
1.132883885295820e-03	1.132737e-02
1.133669412778443e-03	1.133522e-02
1.134455484935975e-03	1.134308e-02
1.135242102146086e-03	1.135095e-02
1.136029264786708e-03	1.135882e-02
1.136816973236036e-03	1.136669e-02
1.137605227872526e-03	1.137457e-02
1.138394029074900e-03	1.138246e-02
1.139183377222137e-03	1.139035e-02
1.139973272693483e-03	1.139825e-02
1.140763715868446e-03	1.140615e-02
1.141554707126796e-03	1.141406e-02
1.142346246848568e-03	1.142198e-02
1.143138335414059e-03	1.142990e-02
1.143930973203830e-03	1.143782e-02
1.144724160598708e-03	1.144575e-02
1.145517897979780e-03	1.145369e-02
1.146312185728401e-03	1.146163e-02
1.147107024226189e-03	1.146958e-02
1.147902413855026e-03	1.147753e-02
1.148698354997059e-03	1.148549e-02
1.149494848034701e-03	1.149345e-02
1.150291893350630e-03	1.150142e-02
1.151089491327787e-03	1.150940e-02
1.151887642349383e-03	1.151738e-02
1.152686346798889e-03	1.152537e-02
1.153485605060048e-03	1.153336e-02
1.154285417516864e-03	1.154135e-02
1.155085784553610e-03	1.154936e-02
1.155886706554824e-03	1.155736e-02
1.156688183905313e-03	1.156538e-02
1.157490216990149e-03	1.157340e-02
1.158292806194669e-03	1.158142e-02
1.159095951904482e-03	1.158945e-02
1.159899654505461e-03	1.159749e-02
1.160703914383747e-03	1.160553e-02
1.161508731925749e-03	1.161358e-02
1.162314107518144e-03	1.162163e-02
1.163120041547878e-03	1.162969e-02
1.163926534402164e-03	1.163775e-02
1.164733586468483e-03	1.164582e-02
1.165541198134587e-03	1.165390e-02
1.166349369788495e-03	1.166198e-02
1.167158101818495e-03	1.167006e-02
1.167967394613146e-03	1.167816e-02
1.168777248561274e-03	1.168625e-02
1.169587664051975e-03	1.169436e-02
